record_id,material_query,book,page,record_index,record_label,material_class,final_family,final_specific_model,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target
C|C|Song-cHOPG-o|6,C,C,Song-cHOPG-o,6,C / C / Song-cHOPG-o / rec6,carbon,RP,RP,4.0,0.0010678661393963,0.009583371729323,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Song-cHOPG-o/RP_M4.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
CdTe|CdTe|Adachi|1,CdTe,CdTe,Adachi,1,CdTe / CdTe / Adachi / rec1,semiconductor,RP,RP,5.0,0.0053066025602807,0.050733016270678,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/CdTe_CdTe_Adachi/RP_M5.json,lowest_RMS_no_primary_target,acceptable_le_0.01,False,True
Ge|Ge|Ciesielski-20nm|2,Ge,Ge,Ciesielski-20nm,2,Ge / Ge / Ciesielski-20nm / rec2,semiconductor,RP,RP,5.0,0.0023902260628127,0.0420380238630688,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ge_Ge_Ciesielski-20nm/RP_M5.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
MoS2|MoS2|Munkhbat-o|16,MoS2,MoS2,Munkhbat-o,16,MoS2 / MoS2 / Munkhbat-o / rec16,chalcogenide_or_2D,RP,RP,5.0,0.0201807840863301,0.4024675414933611,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Munkhbat-o/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-6L|10,MoS2,MoS2,Song-6L,10,MoS2 / MoS2 / Song-6L / rec10,chalcogenide_or_2D,RP,RP,5.0,0.0295636837214278,0.5788570443869854,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoSe2|MoSe2|Munkhbat-o|3,MoSe2,MoSe2,Munkhbat-o,3,MoSe2 / MoSe2 / Munkhbat-o / rec3,chalcogenide_or_2D,RP,RP,5.0,0.020726083668809,0.5039483455486249,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Si|Si|Franta-250K|6,Si,Si,Franta-250K,6,Si / Si / Franta-250K / rec6,semiconductor,RP,RP,5.0,0.0012937632760889,0.0311226811921454,1.0000005485130183,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-250K/RP_M5.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
Si|Si|Franta-350K|9,Si,Si,Franta-350K,9,Si / Si / Franta-350K / rec9,semiconductor,RP,RP,4.0,0.0037829769143021,0.0756646782081407,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-350K/RP_M4.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
WSe2|WSe2|Gu-1L|1,WSe2,WSe2,Gu-1L,1,WSe2 / WSe2 / Gu-1L / rec1,chalcogenide_or_2D,RP,RP,3.0,0.1436796607599962,2.9662950702579414,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-1L/RP_M3.json,lowest_RMS_no_primary_target,poor_fit,False,False
WSe2|WSe2|Gu-2L|2,WSe2,WSe2,Gu-2L,2,WSe2 / WSe2 / Gu-2L / rec2,chalcogenide_or_2D,RP,RP,5.0,0.0337067503769461,0.5775935932217946,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
