record_id,material_query,book,page,record_index,record_label,material_class,final_family,final_specific_model,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target
Ag|Ag|Babar|8,Ag,Ag,Babar,8,Ag / Ag / Babar / rec8,metal,CP,SemiCP,5.0,0.0100493917517415,0.0340532894473061,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Babar/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ciesielski|6,Ag,Ag,Ciesielski,6,Ag / Ag / Ciesielski / rec6,metal,CP,SemiCP,4.0,0.003517228224677,0.027829157962377,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ciesielski/SCP_M4.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
Ag|Ag|Ciesielski-Ge|5,Ag,Ag,Ciesielski-Ge,5,Ag / Ag / Ciesielski-Ge / rec5,metal,CP,SemiCP,4.0,0.0020474164095391,0.0161802834129295,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ciesielski-Ge/SCP_M4.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
Ag|Ag|Ciesielski-Ni|7,Ag,Ag,Ciesielski-Ni,7,Ag / Ag / Ciesielski-Ni / rec7,metal,CP,SemiCP,4.0,0.0037957736334946,0.0198222964297222,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ciesielski-Ni/SCP_M4.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
Ag|Ag|Ferrera-298K|9,Ag,Ag,Ferrera-298K,9,Ag / Ag / Ferrera-298K / rec9,metal,CP,SemiCP,2.0,0.0397976611640384,0.598150354140094,1.0000002272519537,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-298K/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ferrera-404K|10,Ag,Ag,Ferrera-404K,10,Ag / Ag / Ferrera-404K / rec10,metal,CP,SemiCP,2.0,0.02921852527477,0.5458273633101567,1.0000002501886651,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-404K/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ferrera-501K|11,Ag,Ag,Ferrera-501K,11,Ag / Ag / Ferrera-501K / rec11,metal,CP,SemiCP,2.0,0.021977405941958,0.3747194766390178,1.0000002864370678,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-501K/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ferrera-600K|12,Ag,Ag,Ferrera-600K,12,Ag / Ag / Ferrera-600K / rec12,metal,CP,SemiCP,3.0,0.0160079299098117,0.1901986782528154,1.0000006349041417,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-600K/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Hagemann|1,Ag,Ag,Hagemann,1,Ag / Ag / Hagemann / rec1,metal,CP,SemiCP,4.0,0.0104443609636023,0.0601428106204916,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Hagemann/SCP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Jiang|16,Ag,Ag,Jiang,16,Ag / Ag / Jiang / rec16,metal,CP,SemiCP,4.0,0.0035896730684492,0.0164792291946065,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Jiang/SCP_M4.json,smallest_N_meeting_primary_target_0.005,excellent_le_0.005,True,True
