record_id,material_query,book,page,record_index,record_label,material_class,final_family,final_specific_model,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target
ZnO|ZnO|Querry|1,ZnO,ZnO,Querry,1,ZnO / ZnO / Querry / rec1,TCO_or_semiconducting_oxide,CP,SemiCP,3.0,0.044675797087864,0.109039247993731,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
C|C|Song-sHOPG-o|7,C,C,Song-sHOPG-o,7,C / C / Song-sHOPG-o / rec7,carbon,CP,SemiCP,2.0,0.0150200155080849,0.1004502624981847,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Song-sHOPG-o/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
C|C|Song-sHOPG-e|21,C,C,Song-sHOPG-e,21,C / C / Song-sHOPG-e / rec21,carbon,CP,SemiCP,1.0,0.0074213948173937,0.0134359733533027,1.0000000054495424,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Song-sHOPG-e/SCP_M1.json,lowest_RMS_no_primary_target,acceptable_le_0.01,False,True
As2Se3|As2Se3|Joseph-700nm|2,As2Se3,As2Se3,Joseph-700nm,2,As2Se3 / As2Se3 / Joseph-700nm / rec2,chalcogenide_or_2D,CP,SemiCP,2.0,0.4729176857157428,38.06531722345866,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2Se3_As2Se3_Joseph-700nm/SCP_M2.json,lowest_RMS_no_primary_target,poor_fit,False,False
WSe2|WSe2|Gu-1L|1,WSe2,WSe2,Gu-1L,1,WSe2 / WSe2 / Gu-1L / rec1,chalcogenide_or_2D,RP,RP,3.0,0.1436796607599962,2.9662950702579414,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-1L/RP_M3.json,lowest_RMS_no_primary_target,poor_fit,False,False
WS2|WS2|Munkhbat-o|1,WS2,WS2,Munkhbat-o,1,WS2 / WS2 / Munkhbat-o / rec1,chalcogenide_or_2D,CP,AnalyticalCP,4.0,0.1033443042842927,2.3147698309080247,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WS2_WS2_Munkhbat-o/CP_M4.json,lowest_RMS_no_primary_target,poor_fit,False,False
WSe2|WSe2|Gu-4L|4,WSe2,WSe2,Gu-4L,4,WSe2 / WSe2 / Gu-4L / rec4,chalcogenide_or_2D,CP,SemiCP,4.0,0.1013687835578784,2.3017597418880453,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-4L/SCP_M4.json,lowest_RMS_no_primary_target,poor_fit,False,False
WSe2|WSe2|Gu-3L|3,WSe2,WSe2,Gu-3L,3,WSe2 / WSe2 / Gu-3L / rec3,chalcogenide_or_2D,CP,SemiCP,5.0,0.096336067383983,1.949085750945936,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-3L/SCP_M5.json,lowest_RMS_no_primary_target,poor_fit,False,False
WSe2|WSe2|Gu-5L|5,WSe2,WSe2,Gu-5L,5,WSe2 / WSe2 / Gu-5L / rec5,chalcogenide_or_2D,RP,RP,3.0,0.0782950697834055,1.8606688689398807,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-5L/RP_M3.json,lowest_RMS_no_primary_target,poor_fit,False,False
MoS2|MoS2|Beal|1,MoS2,MoS2,Beal,1,MoS2 / MoS2 / Beal / rec1,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.0756669701625952,2.225668208779474,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Beal/CP_M5.json,lowest_RMS_no_primary_target,poor_fit,False,False
MoS2|MoS2|Islam-1L|2,MoS2,MoS2,Islam-1L,2,MoS2 / MoS2 / Islam-1L / rec2,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.0431228221058281,0.5226987614451292,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Islam-1L/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Ermolaev-1L|14,MoS2,MoS2,Ermolaev-1L,14,MoS2 / MoS2 / Ermolaev-1L / rec14,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.03644666551197,0.8928577307201928,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Ermolaev-1L/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
WSe2|WSe2|Gu-2L|2,WSe2,WSe2,Gu-2L,2,WSe2 / WSe2 / Gu-2L / rec2,chalcogenide_or_2D,RP,RP,5.0,0.0337067503769461,0.5775935932217946,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/WSe2_WSe2_Gu-2L/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-6L|10,MoS2,MoS2,Song-6L,10,MoS2 / MoS2 / Song-6L / rec10,chalcogenide_or_2D,RP,RP,5.0,0.0295636837214278,0.5788570443869854,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
As2Se3|As2Se3|Joseph-400nm|1,As2Se3,As2Se3,Joseph-400nm,1,As2Se3 / As2Se3 / Joseph-400nm / rec1,chalcogenide_or_2D,CP,SemiCP,3.0,0.028813863488475,0.3253130711463287,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/As2Se3_As2Se3_Joseph-400nm/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Ullberg|13,MoS2,MoS2,Ullberg,13,MoS2 / MoS2 / Ullberg / rec13,chalcogenide_or_2D,CP,AnalyticalCP,4.0,0.0286413970540419,0.5736484508408319,1.0000001556655644,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Ullberg/CP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-bulk|12,MoS2,MoS2,Song-bulk,12,MoS2 / MoS2 / Song-bulk / rec12,chalcogenide_or_2D,CP,AnalyticalCP,5.0,0.0273264629369757,0.5564406300164321,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-bulk/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
MoS2|MoS2|Song-10L|5,MoS2,MoS2,Song-10L,5,MoS2 / MoS2 / Song-10L / rec5,chalcogenide_or_2D,CP,SemiCP,4.0,0.0270387616444864,0.4461660895844332,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-10L/SCP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
